"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CLVS","Clovis Oncology, Inc.","67.17","3283226208.18","n/a","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clvs",
"CMFN","CM Finance Inc","9.75","133474799.25","n/a","2014","n/a","n/a","http://www.nasdaq.com/symbol/cmfn",
"CME","CME Group Inc.","128.04","43522352582.28","n/a","2002","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cme",
"CCNE","CNB Financial Corporation","24.32","371736939.52","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ccne",
"CWAY","Coastway Bancorp, Inc.","19.85","87189953.85","n/a","2014","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cway",
"COBZ","CoBiz Financial Inc.","16.41","685577406.66","n/a","1998","Finance","Major Banks","http://www.nasdaq.com/symbol/cobz",
"COKE","Coca-Cola Bottling Co. Consolidated","212.29","1981550737.01","n/a","1972","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/coke",
"CODA","Coda Octopus Group, Inc.","4.37","39776579.04","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/coda",
"CDXS","Codexis, Inc.","5.6","270616679.2","n/a","2010","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/cdxs",
"CODX","Co-Diagnostics, Inc.","5.75","68528356.25","n/a","2017","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/codx",
"CVLY","Codorus Valley Bancorp, Inc","25.35","214288442.55","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cvly",
"JVA","Coffee Holding Co., Inc.","3.9","22853680.2","n/a","2005","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/jva",
"CCOI","Cogent Communications Holdings, Inc.","44.4","2039563905.6","n/a","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/ccoi",
"CGNT","Cogentix Medical, Inc.","2.44","148632058.32","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/cgnt",
"COGT","Cogint, Inc.","5.35","295367641.75","n/a","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/cogt",
"CGNX","Cognex Corporation","107.91","9342018619.56","n/a","1989","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cgnx",
"CTSH","Cognizant Technology Solutions Corporation","71.1","41993273330.1","n/a","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/ctsh",
"COHR","Coherent, Inc.","235.43","5798984156.94","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/cohr",
"CHRS","Coherus BioSciences, Inc.","12.55","644557796.85","n/a","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/chrs",
"COHU","Cohu, Inc.","18.36","513342937.8","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/cohu",
"CLCT","Collectors Universe, Inc.","22.29","198849045.42","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/clct",
"COLL","Collegium Pharmaceutical, Inc.","10.21","301878814.75","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/coll",
"CIGI","Colliers International Group Inc. ","50.8","1905812393.6","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cigi",
"CBAN","Colony Bankcorp, Inc.","13.2","111398205.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cban",
"COLB","Columbia Banking System, Inc.","36.36","2122732105.56","n/a","1992","Finance","Major Banks","http://www.nasdaq.com/symbol/colb",
"COLM","Columbia Sportswear Company","58.25","4062760245.25","n/a","1998","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/colm",
"CMCO","Columbus McKinnon Corporation","32.7","739847767.8","n/a","1996","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/cmco",
"CBMX","CombiMatrix Corporation","7.6","22182317.6","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/cbmx",
"CBMXW","CombiMatrix Corporation","2.5","0","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/cbmxw",
"CMCSA","Comcast Corporation","38.21","180097958830.85","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/cmcsa",
"CBSH","Commerce Bancshares, Inc.","53.21","5407516267.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cbsh",
"CBSHP","Commerce Bancshares, Inc.","26.424","2421506035.296","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cbshp",
"CUBN","Commerce Union Bancshares, Inc.","23.08","181671496.56","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cubn",
"CHUBA","CommerceHub, Inc.","22.24","961868168.32","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/chuba",
"CHUBK","CommerceHub, Inc.","21.33","922511152.44","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/chubk",
"CVGI","Commercial Vehicle Group, Inc.","6.56","202240103.04","n/a","2004","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/cvgi",
"COMM","CommScope Holding Company, Inc.","33.04","6378084717.2","n/a","2013","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/comm",
"JCS","Communications Systems, Inc.","4.03","36094062.29","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/jcs",
"ESXB","Community Bankers Trust Corporation.","8.75","192825683.75","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/esxb",
"CFBI","Community First Bancshares, Inc.","12.56","94680420","n/a","2017","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cfbi",
"CYHHZ","Community Health Systems, Inc.","0.0136","0","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/cyhhz",
"CTBI","Community Trust Bancorp, Inc.","40.85","722000874","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ctbi",
"CWBC","Community West Bancshares","10.3","84045311.7","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cwbc",
"CVLT","Commvault Systems, Inc.","60.15","2737856031.15","n/a","2006","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cvlt",
"CGEN","Compugen Ltd.","3.25","166178207","n/a","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cgen",
"CPSI","Computer Programs and Systems, Inc.","28.45","391350404.7","n/a","2002","Technology","EDP Services","http://www.nasdaq.com/symbol/cpsi",
"CTG","Computer Task Group, Incorporated","5.23","82109901.7","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/ctg",
"CHCI","Comstock Holding Companies, Inc.","1.87","6465932.66","n/a","2004","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/chci",
"CMTL","Comtech Telecommunications Corp.","19.9","469045308.4","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/cmtl",
"CNAT","Conatus Pharmaceuticals Inc.","6.02","180629624.42","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cnat",
"CNCE","Concert Pharmaceuticals, Inc.","15.28","346660217.36","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cnce",
"CXRX","Concordia International Corp.","1.34","68532930.52","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cxrx",
"CCUR","Concurrent Computer Corporation","5.93","58431616.73","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/ccur",
"CDOR","Condor Hospitality Trust, Inc.","10.42","121188319.94","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cdor",
"CFMS","ConforMIS, Inc.","3.81","171470063.46","n/a","2015","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/cfms",
"CNFR","Conifer Holdings, Inc.","6.8","51904869.2","n/a","2015","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/cnfr",
"CNMD","CONMED Corporation","49.56","1383920427.96","n/a","1987","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/cnmd",
"CTWS","Connecticut Water Service, Inc.","56.52","654241608","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/ctws",
"CNOB","ConnectOne Bancorp, Inc.","21.35","683527017.95","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cnob",
"CNXR","Connecture, Inc.","0.7101","16245516.5487","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cnxr",
"CONN","Conn&#39;s, Inc.","23.1","720880337.1","n/a","2003","Consumer Services","Consumer Electronics/Video Chains","http://www.nasdaq.com/symbol/conn",
"CNSL","Consolidated Communications Holdings, Inc.","17.88","1266574535.76","n/a","2005","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/cnsl",
"CWCO","Consolidated Water Co. Ltd.","11.95","178063651.8","n/a","n/a","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/cwco",
"CNAC","Constellation Alpha Capital Corp.","9.78","181223400","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/cnac",
"CNACR","Constellation Alpha Capital Corp.","0.285","0","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/cnacr",
"CNACU","Constellation Alpha Capital Corp.","10.2592","0","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/cnacu",
"CNACW","Constellation Alpha Capital Corp.","0.27","0","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/cnacw",
"CPSS","Consumer Portfolio Services, Inc.","4.15","94337870.55","n/a","1992","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/cpss",
"CFRX","ContraFect Corporation","0.875","64449005.25","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cfrx",
"CTRV","ContraVir Pharmaceuticals Inc","0.5072","38398766.9056","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ctrv",
"CTRL","Control4 Corporation","26.41","656438007.01","n/a","2013","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/ctrl",
"CPRT","Copart, Inc.","32.35","7451215161.1","n/a","1994","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/cprt",
"CRBP","Corbus Pharmaceuticals Holdings, Inc.","6.75","338988442.5","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/crbp",
"CORT","Corcept Therapeutics Incorporated","17.26","1957246045.26","n/a","1982","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cort",
"CORE","Core-Mark Holding Company, Inc.","27.35","1266937195.25","n/a","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/core",
"CORI","Corium International, Inc.","9.39","335623530.45","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cori",
"CSOD","Cornerstone OnDemand, Inc.","34.28","1973808805.6","n/a","2011","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/csod",
"CRVL","CorVel Corp.","50.85","953726073.75","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/crvl",
"CRVS","Corvus Pharmaceuticals, Inc.","16.99","355677392.86","n/a","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/crvs",
"CSGP","CoStar Group, Inc.","280.4","9202891753.6","n/a","1998","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/csgp",
"COST","Costco Wholesale Corporation","157.31","68995118315.4","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/cost",
"CPAH","CounterPath Corporation","2.7902","15452643.787","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cpah",
"ICBK","County Bancorp, Inc.","29.37","195050839.83","n/a","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/icbk",
"COUP","Coupa Software Incorporated","30.45","1613461671.15","n/a","2016","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/coup",
"CVTI","Covenant Transportation Group, Inc.","25.83","472370386.95","n/a","1994","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/cvti",
"COWN","Cowen Inc.","16.05","498738839.55","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cown",
"COWNL","Cowen Inc.","26.8","0","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cownl",
"PMTS","CPI Card Group Inc.","1.01","56147944.24","n/a","2015","Finance","Finance Companies","http://www.nasdaq.com/symbol/pmts",
"CPSH","CPS Technologies Corp.","1.2","15844123.2","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cpsh",
"CRAI","CRA International,Inc.","36.98","304128512.3","n/a","1998","Miscellaneous","Other Consumer Services","http://www.nasdaq.com/symbol/crai",
"CBRL","Cracker Barrel Old Country Store, Inc.","144.72","3479441164.56","n/a","1981","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/cbrl",
"BREW","Craft Brew Alliance, Inc.","17.2","331852930","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/brew",
"CRAY","Cray Inc","18.7","754927882.5","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/cray",
"CACC","Credit Acceptance Corporation","261.75","5054463696","n/a","1992","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/cacc",
"USOI","Credit Suisse AG","23.66","0","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/usoi",
"CREE","Cree, Inc.","23.85","2329783934.85","n/a","1993","Technology","Semiconductors","http://www.nasdaq.com/symbol/cree",
"CRESY","Cresud S.A.C.I.F. y A.","20.2","776780193","38454465","1997","Finance","Real Estate","http://www.nasdaq.com/symbol/cresy",
"CRSP","CRISPR Therapeutics AG","18.74","760687877.06","n/a","2016","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/crsp",
"CRTO","Criteo S.A.","44.88","2836056645.84","63191993","2013","Technology","Advertising","http://www.nasdaq.com/symbol/crto",
"CROX","Crocs, Inc.","9.37","672405339.33","n/a","2006","Consumer Non-Durables","Shoe Manufacturing","http://www.nasdaq.com/symbol/crox",
"CCRN","Cross Country Healthcare, Inc.","12.49","455813844.47","n/a","2001","Technology","Professional Services","http://www.nasdaq.com/symbol/ccrn",
"CRWS","Crown Crafts, Inc.","6.55","65878354.2","n/a","n/a","Basic Industries","Textiles","http://www.nasdaq.com/symbol/crws",
"CYRX","CryoPort, Inc.","9.03","224379218.91","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/cyrx",
"CYRXW","CryoPort, Inc.","5.43","0","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/cyrxw",
"CSGS","CSG Systems International, Inc.","38.37","1288641754.29","n/a","1996","Technology","EDP Services","http://www.nasdaq.com/symbol/csgs",
"CCLP","CSI Compressco LP","4.68","166117128.84","n/a","2011","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/cclp",
"CSPI","CSP Inc.","10.11","39667424.13","n/a","1982","Technology","EDP Services","http://www.nasdaq.com/symbol/cspi",
"CSWI","CSW Industrials, Inc.","41.6","660939427.2","n/a","n/a","Basic Industries","Home Furnishings","http://www.nasdaq.com/symbol/cswi",
"CSX","CSX Corporation","51.14","46706827331.4","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/csx",
"CTIC","CTI BioPharma Corp.","3.23","138833168.15","n/a","1997","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ctic",
"CTIB","CTI Industries Corporation","4.1123","14496790.9921","n/a","1997","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/ctib",
"CTRP","Ctrip.com International, Ltd.","51.54","22966636732.32","445608008","2003","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ctrp",
"CUNB","CU Bancorp (CA)","34.85","621284227.85","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cunb",
"CUI","CUI Global, Inc.","3.64","76425134.24","n/a","n/a","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/cui",
"CPIX","Cumberland Pharmaceuticals Inc.","6.79","107937764.62","n/a","2009","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cpix",
"CMLS","Cumulus Media Inc.","0.39","11429485.86","n/a","1998","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/cmls",
"CRIS","Curis, Inc.","2.16","310778542.8","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cris",
"CUTR","Cutera, Inc.","39.55","553900241.65","n/a","2004","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/cutr",
"CVBF","CVB Financial Corporation","20.14","2218441925.46","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cvbf",
"CVV","CVD Equipment Corporation","11.2","71546137.6","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cvv",
"CYAN","Cyanotech Corporation","4.7","26721290.7","n/a","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/cyan",
"CYBR","CyberArk Software Ltd.","41.52","1429252135.92","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cybr",
"CYBE","CyberOptics Corporation","14.8","103174722","n/a","1987","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/cybe",
"CYCC","Cyclacel Pharmaceuticals, Inc.","1.66","18924742.02","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cycc",
"CYCCP","Cyclacel Pharmaceuticals, Inc.","5.75","1927819.75","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cyccp",
"CBAY","CymaBay Therapeutics Inc.","5.95","260353959.6","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cbay",
"CY","Cypress Semiconductor Corporation","13.47","4478615501.73","n/a","1986","Technology","Semiconductors","http://www.nasdaq.com/symbol/cy",
"CYRN","CYREN Ltd.","1.85","72492483.1","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cyrn",
"CONE","CyrusOne Inc","64.02","5844543993.42","n/a","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cone",
"CYTK","Cytokinetics, Incorporated","14.7","788901386.7","n/a","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cytk",
"CTMX","CytomX Therapeutics, Inc.","17.16","632644017.72","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ctmx",
"CYTX","Cytori Therapeutics Inc","0.37","12845037.66","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cytx",
"CYTXW","Cytori Therapeutics Inc","0.0263","0","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cytxw",
"CTSO","Cytosorbents Corporation","6.1","171617314.6","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ctso",
"CYTR","CytRx Corporation","0.4749","78750672.42","n/a","1986","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cytr",
"DJCO","Daily Journal Corp. (S.C.)","210.62","290812722.52","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/djco",
"DAKT","Daktronics, Inc.","9.59","424720721.25","n/a","1994","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/dakt",
"DARE","Dare Bioscience, Inc.","3.48","21044134.2","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/dare",
"DRIO","DarioHealth Corp.","1.86","19043089.2","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/drio",
"DRIOW","DarioHealth Corp.","0.28","0","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/driow",
"DZSI","DASAN Zhone Solutions, Inc.","6.526","21376147.936","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/dzsi",
